lng,lat
112.07241,-6.90619
112.62085,-7.94279
103.836472,1.30256
106.78374,-6.32975
7.003901,51.429631
-1.208426,44.720465
101.523446,3.084582
106.809125,-6.224052
3.384403,46.567941
-79.912876,37.407533
103.311224,3.802138
-7.316878,55.011844
-1.212891,52.451517
-80.245953,41.224608
31.039758,-29.882408
115.21807,-8.66192
2.342024,48.871267
9.712406,4.057696
1.383589,49.021214
-88.095571,41.919279
-88.178091,43.065967
123.884406,10.319445
101.592758,3.047662
118.079477,5.857685
0.134327,52.20406
55.295643,25.234822
72.609406,22.995294
-0.120489,51.301312
119.523997,-5.091077
-97.671101,35.57813
-93.292331,37.199389
100.539169,13.764095
-80.178618,26.140255
118.079477,5.857685
124.83695,1.47565
2.462228,48.875352
-0.254983,51.457595
106.910286,-6.223353
-76.568469,42.929364
118.079477,5.857685
-81.073983,33.993487
27.133635,-33.484516
2.22144,49.022477
-94.466449,37.103712
-87.622636,34.697921
-2.628713,50.945581
1.207623,51.230434
106.84345,-6.22297
103.873087,1.39619
101.72967,3.099234
112.69861,-7.66789
151.209978,-33.882249
-73.666093,41.641839
-74.035267,40.775538
-82.466523,27.957691
121.05874,14.752419
-2.62905,50.945567
102.213494,2.441282
-3.273361,55.92611
101.523446,3.084582
6.098044,49.246825
-82.779775,28.143892
-82.96537,42.463193
12.251832,41.79781
2.204052,49.200272
114.58951,-3.31177
-113.817297,52.260465
-83.961749,43.487828
11.029434,49.368128
-1.31541,54.585692
14.196431,40.825521
-89.919291,38.581821
-95.997765,41.293447
-58.009031,6.771694
122.563222,10.717863
119.44859,-5.19859
32.825475,39.924515
-2.508093,51.496779
139.695772,35.662416
2.085231,49.059058
121.017613,14.461435
-122.609805,45.49584
24.732842,42.152062
120.976682,14.598057
-81.488851,31.217273
-77.539013,38.383681
121.053496,14.545596
-82.643585,28.367508
151.20781,-33.885907
-80.394717,26.06496
84.389371,28.437872
4.336852,50.826189
106.910286,-6.223353
-81.572883,41.513961
103.873087,1.39619
-2.837337,48.633068
121.07385,14.533998
6.224573,49.117039
-2.252013,53.774124
110.40078,-7.7679
-72.16304,41.457171
121.056971,14.58523
0.132701,51.540421
5.952502,49.384649
28.160199,-25.734301
-2.571246,51.527374
-88.08268,36.505283
119.41715,-5.14556
101.707291,2.942924
-4.062628,51.089722
121.06445,14.586596
34.587166,36.78286
